id,label,markets,terms,presentation,gtin,commercial_name,official_prices,product_id,type
8,000008_FG_TESTAVAN_20mg/g_1x85.5g_DK,"[""DK""]","{""invoiced_price"":{""amount"":342.24,""currency"":""DKK""}}","{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,,"[{""type"":""ppp"",""value"":""372.0"",""country"":""DK"",""currency"":""DKK"",""source_url"":""https://www.medicinpriser.dk/Default.aspx?id=15&vnr=043482""}]",23646,sku
13,000013_FG_TESTAVAN_20mg/g_1x85.5g_IT,"[""IT""]","{""invoiced_price"":{""amount"":29.12,""currency"":""EUR""}}","{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,,"[{""type"":""wpp"",""value"":""29.11"",""country"":""IT"",""currency"":""EUR"",""source_document"":""https://github.com/simplepharma/qms/blob/master/documents/market_access/TestavanRisp.18Set19-IT.pdf""},{""type"":""psp"",""value"":""48.04"",""country"":""IT"",""currency"":""EUR"",""source_url"":""https://www.aifa.gov.it/en/liste-farmaci-a-h""}]",23646,sku
68,000068_FG_TESTAVAN-REFILL_20mg/g_1x85.5g_IT,"[""IT""]",{},"{""box"":{""tare"":{""unit"":""kg"",""value"":1},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""type"":""FG"",""packs_per_box"":48,""boxes_per_epal"":20,""product_weight_per_unit"":""85.5 g""}",,,,23646,sku
29,000029_DEMO_TESTAVAN_Global,"[""GLOBAL""]",{},"{""epal"":{""tare"":{""unit"":""kg"",""value"":42.44},""gross_weight"":{""unit"":""kg"",""value"":275}},""type"":""API"",""packs_per_box"":180,""boxes_per_epal"":20}",,,,23646,sku
30,000030_API_TESTOSTERONE_Global,"[""GLOBAL""]",{},"{""epal"":{""tare"":{""unit"":""kg"",""value"":42.44},""gross_weight"":{""unit"":""kg"",""value"":275}},""type"":""API"",""packs_per_box"":180,""boxes_per_epal"":20}",,,,23646,sku
43,000043_FG_CEFEPIME_500mg_10x500mg_FR,"[""FR""]",{},"{""type"":""FG"",""strength"":""500mg""}",,,,219675,sku
73,000073_FG_CEFEPIME_2g_10x2g_VN,"[""VN""]",{},"{""box"":{""width"":{""unit"":""cm"",""value"":22.9},""height"":{""unit"":""cm"",""value"":34.3},""length"":{""unit"":""cm"",""value"":47.2},""gross_weight"":{""unit"":""kg"",""value"":14.02}},""pack"":{""width"":{""unit"":""cm"",""value"":9},""height"":{""unit"":""cm"",""value"":8},""length"":{""unit"":""cm"",""value"":21.5}},""type"":""FG"",""strength"":""2g"",""boxes_per_epal"":24}",,,,219675,sku
56,000056_FG_CEFTAZIDIME_1g/4mL_1x1g/4mL_IQ,"[""IQ""]",{},"{""box"":{""gross_weight"":{""unit"":""kg"",""value"":4.75}},""type"":""FG"",""strength"":""1g/4mL""}",,,,219676,sku
47,000047_FG_CEFTRIAXONE_1g_10x1g_FR,"[""FR""]",{},"{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":28},""height"":{""unit"":""cm"",""value"":27},""length"":{""unit"":""cm"",""value"":54},""gross_weight"":{""unit"":""kg"",""value"":21.05}},""pack"":{""width"":{""unit"":""cm"",""value"":5.25},""height"":{""unit"":""cm"",""value"":6.05},""length"":{""unit"":""cm"",""value"":12.78}},""type"":""FG"",""packs_per_box"":80,""boxes_per_epal"":24,""product_weight_per_unit"":""1g""}",,,,219672,sku
11,000011_FG_TESTAVAN_20mg/g_1x85.5g_GB,"[""GB""]","{""invoiced_price"":{""amount"":25.22,""currency"":""GBP""}}","{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,,"[{""type"":""wpp"",""value"":""25.22"",""country"":""GB"",""currency"":""GBP"",""source_url"":""https://services.nhsbsa.nhs.uk/dmd-browser/amp/view/145271?ref=YW1wTmFtZT10ZXN0YXZhbiZzZWFyY2hUeXBlPUFNUCZzaG93SW52YWxpZEl0ZW1zPWZhbHNlJmhpZGVQYXJhbGxlbEltcG9ydD1mYWxzZSZoaWRlU3BlY2lhbE9yZGVyPWZhbHNlJmhpZGVEaXNjb250aW51ZWRJdGVtcz1mYWxzZQ%3D%3D""}]",23646,sku
